p	q	r	Support	BodySupport	HeadCoverage	StdConf	PCAconf	CompleteConf	Precision	Recall	DirMetric	DirCoef	RuleEval
P22	P26	P25	17	352	0.0047301057317751805	0.048295454545454544	0.68	0.048295454545454544	1.0	NaN	NaN	3.4028234663852886E38	
P22	P40	P3373	16	1084	0.0019382192610539067	0.014760147601476014	0.08743169398907104	0.014760147601476014	1.0	NaN	NaN	3.4028234663852886E38	
P25	P26	P22	20	196	0.0016852039096730705	0.10204081632653061	0.9523809523809523	0.10471204188481675	1.0	5.0E-5	1.0	3.4028234663852886E38	
P3373	P22	P22	52	746	0.004381530165149983	0.06970509383378017	0.7536231884057971	0.07142857142857142	0.9959785522788204	1.8E-4	0.8571428571428572	3.4028234663852886E38	
P3373	P3373	P3373	16	2764	0.0019382192610539067	0.005788712011577424	0.005788712011577424	0.005788712011577424	1.0	NaN	NaN	3.4028234663852886E38	
